ticket_text,category,priority
Question: The server is returning a 500 error when I try to upload a file. Appreciate it.,Technical Issue,High
Question: The mobile app is very slow after the last update. Appreciate it.,Technical Issue,Medium
"Hello, How do I change my profile picture? Regards.",General Query,Low
"Hi team, Can I pay using PayPal? Appreciate it.",Billing,Low
Question: I want to upgrade my plan to premium.,Account,Medium
"Hello, Where can I find the documentation for the API? Get back to me.",General Query,Low
"Hello, When is the next feature update coming out?",General Query,Low
Question: I want to upgrade my plan to premium. Regards.,Account,Medium
Please help. How do I change my profile picture? Thanks.,General Query,Low
Question: Where can I find the documentation for the API?,General Query,Low
"Hello, I keep receiving spam emails from your service. Thanks.",General Query,Medium
Please help. I have a problem with my invoice from last month. It seems I was charged twice. Thanks.,Billing,High
"Hi team, When is the next feature update coming out? Thanks.",General Query,Low
Question: My data is not syncing across devices.,Technical Issue,Medium
"Hi team, I forgot my password and the reset link is not arriving to my email. Appreciate it.",Account,High
"Hi team, My account is locked and I cannot log in. Regards.",Account,High
Fix this ASAP! I need a refund for my subscription.,Billing,Medium
Question: Where can I find the documentation for the API? Thanks.,General Query,Low
URGENT: The application crashes when I click on the dashboard. Get back to me.,Technical Issue,High
"Hi team, My credit card was declined but I have sufficient funds. Thanks.",Billing,High
Please help. The server is returning a 500 error when I try to upload a file. Get back to me.,Technical Issue,High
Please help. My credit card was declined but I have sufficient funds. Thanks.,Billing,High
Please help. Can I pay using PayPal?,Billing,Low
Fix this ASAP! The mobile app is very slow after the last update. Appreciate it.,Technical Issue,Medium
Please help. Can I pay using PayPal? Get back to me.,Billing,Low
"Hi team, I have a problem with my invoice from last month. It seems I was charged twice. Get back to me.",Billing,High
Please help. I keep receiving spam emails from your service.,General Query,Medium
URGENT: I need a refund for my subscription. Regards.,Billing,Medium
Fix this ASAP! The mobile app is very slow after the last update. Appreciate it.,Technical Issue,Medium
Please help. I need a refund for my subscription. Thanks.,Billing,Medium
Please help. The server is returning a 500 error when I try to upload a file. Regards.,Technical Issue,High
"Hi team, My credit card was declined but I have sufficient funds. Get back to me.",Billing,High
Fix this ASAP! I want to upgrade my plan to premium. Regards.,Account,Medium
Question: When is the next feature update coming out? Get back to me.,General Query,Low
Please help. Where can I find the documentation for the API? Regards.,General Query,Low
Fix this ASAP! The server is returning a 500 error when I try to upload a file. Thanks.,Technical Issue,High
Fix this ASAP! I want to upgrade my plan to premium. Regards.,Account,Medium
"Hello, I want to upgrade my plan to premium. Thanks.",Account,Medium
"Hello, I have a problem with my invoice from last month. It seems I was charged twice. Get back to me.",Billing,High
"Hello, When is the next feature update coming out?",General Query,Low
Question: How can I delete my account permanently? Thanks.,Account,Medium
URGENT: When is the next feature update coming out? Thanks.,General Query,Low
Question: My account is locked and I cannot log in. Thanks.,Account,High
Question: I keep receiving spam emails from your service. Thanks.,General Query,Medium
URGENT: When is the next feature update coming out? Regards.,General Query,Low
URGENT: The application crashes when I click on the dashboard. Get back to me.,Technical Issue,High
"Hello, When is the next feature update coming out? Appreciate it.",General Query,Low
URGENT: The mobile app is very slow after the last update.,Technical Issue,Medium
URGENT: When is the next feature update coming out? Get back to me.,General Query,Low
Please help. The mobile app is very slow after the last update. Regards.,Technical Issue,Medium
"Hi team, I keep receiving spam emails from your service. Appreciate it.",General Query,Medium
Question: The application crashes when I click on the dashboard. Appreciate it.,Technical Issue,High
Please help. My data is not syncing across devices. Thanks.,Technical Issue,Medium
"Hello, My account is locked and I cannot log in. Appreciate it.",Account,High
"Hello, The application crashes when I click on the dashboard. Thanks.",Technical Issue,High
Question: The application crashes when I click on the dashboard.,Technical Issue,High
URGENT: My data is not syncing across devices. Appreciate it.,Technical Issue,Medium
Please help. How do I change my profile picture? Get back to me.,General Query,Low
Question: I keep receiving spam emails from your service. Appreciate it.,General Query,Medium
"Hello, My account is locked and I cannot log in.",Account,High
"Hello, My account is locked and I cannot log in. Get back to me.",Account,High
Fix this ASAP! My account is locked and I cannot log in. Regards.,Account,High
Fix this ASAP! I keep receiving spam emails from your service. Thanks.,General Query,Medium
"Hello, My account is locked and I cannot log in. Thanks.",Account,High
"Hi team, My credit card was declined but I have sufficient funds.",Billing,High
Please help. How do I change my profile picture? Thanks.,General Query,Low
"Hello, I forgot my password and the reset link is not arriving to my email.",Account,High
URGENT: The server is returning a 500 error when I try to upload a file.,Technical Issue,High
URGENT: The server is returning a 500 error when I try to upload a file. Regards.,Technical Issue,High
Question: I need a refund for my subscription. Get back to me.,Billing,Medium
"Hello, Can I pay using PayPal? Regards.",Billing,Low
"Hello, My account is locked and I cannot log in.",Account,High
URGENT: My data is not syncing across devices.,Technical Issue,Medium
URGENT: I forgot my password and the reset link is not arriving to my email. Appreciate it.,Account,High
"Hello, Where can I find the documentation for the API?",General Query,Low
Fix this ASAP! How do I change my profile picture?,General Query,Low
Please help. How can I delete my account permanently?,Account,Medium
Please help. My credit card was declined but I have sufficient funds. Regards.,Billing,High
Fix this ASAP! The mobile app is very slow after the last update.,Technical Issue,Medium
"Hello, My data is not syncing across devices. Regards.",Technical Issue,Medium
"Hello, Can I pay using PayPal? Thanks.",Billing,Low
URGENT: My data is not syncing across devices. Thanks.,Technical Issue,Medium
URGENT: The mobile app is very slow after the last update. Appreciate it.,Technical Issue,Medium
Fix this ASAP! I forgot my password and the reset link is not arriving to my email. Thanks.,Account,High
"Hello, I need a refund for my subscription. Regards.",Billing,Medium
"Hello, My credit card was declined but I have sufficient funds. Thanks.",Billing,High
"Hi team, I want to upgrade my plan to premium.",Account,Medium
Question: The server is returning a 500 error when I try to upload a file. Appreciate it.,Technical Issue,High
Fix this ASAP! When is the next feature update coming out? Regards.,General Query,Low
Fix this ASAP! The server is returning a 500 error when I try to upload a file. Thanks.,Technical Issue,High
"Hello, Can I pay using PayPal?",Billing,Low
"Hi team, The mobile app is very slow after the last update. Thanks.",Technical Issue,Medium
Question: The mobile app is very slow after the last update. Get back to me.,Technical Issue,Medium
"Hello, I have a problem with my invoice from last month. It seems I was charged twice. Thanks.",Billing,High
"Hi team, Where can I find the documentation for the API? Regards.",General Query,Low
"Hello, My credit card was declined but I have sufficient funds. Appreciate it.",Billing,High
Question: I have a problem with my invoice from last month. It seems I was charged twice. Regards.,Billing,High
URGENT: I keep receiving spam emails from your service. Get back to me.,General Query,Medium
"Hi team, How can I delete my account permanently? Get back to me.",Account,Medium
Question: I want to upgrade my plan to premium. Get back to me.,Account,Medium
Fix this ASAP! I forgot my password and the reset link is not arriving to my email. Get back to me.,Account,High
Please help. How do I change my profile picture? Thanks.,General Query,Low
URGENT: My account is locked and I cannot log in. Regards.,Account,High
URGENT: When is the next feature update coming out?,General Query,Low
URGENT: The server is returning a 500 error when I try to upload a file.,Technical Issue,High
URGENT: I keep receiving spam emails from your service. Get back to me.,General Query,Medium
Fix this ASAP! Where can I find the documentation for the API? Regards.,General Query,Low
Fix this ASAP! The mobile app is very slow after the last update.,Technical Issue,Medium
Question: The application crashes when I click on the dashboard. Thanks.,Technical Issue,High
"Hello, I forgot my password and the reset link is not arriving to my email. Appreciate it.",Account,High
Question: When is the next feature update coming out? Get back to me.,General Query,Low
"Hi team, Can I pay using PayPal? Get back to me.",Billing,Low
URGENT: The application crashes when I click on the dashboard. Thanks.,Technical Issue,High
Question: I need a refund for my subscription. Regards.,Billing,Medium
Please help. How can I delete my account permanently? Appreciate it.,Account,Medium
Please help. Can I pay using PayPal? Appreciate it.,Billing,Low
"Hi team, My data is not syncing across devices. Get back to me.",Technical Issue,Medium
Question: I keep receiving spam emails from your service.,General Query,Medium
Question: I keep receiving spam emails from your service.,General Query,Medium
Question: How can I delete my account permanently? Appreciate it.,Account,Medium
Question: The application crashes when I click on the dashboard. Get back to me.,Technical Issue,High
"Hello, The server is returning a 500 error when I try to upload a file. Appreciate it.",Technical Issue,High
"Hi team, My credit card was declined but I have sufficient funds. Appreciate it.",Billing,High
URGENT: When is the next feature update coming out?,General Query,Low
URGENT: I have a problem with my invoice from last month. It seems I was charged twice.,Billing,High
"Hi team, I forgot my password and the reset link is not arriving to my email. Regards.",Account,High
"Hello, The mobile app is very slow after the last update. Get back to me.",Technical Issue,Medium
Question: The mobile app is very slow after the last update. Thanks.,Technical Issue,Medium
Please help. My credit card was declined but I have sufficient funds. Regards.,Billing,High
Please help. I have a problem with my invoice from last month. It seems I was charged twice. Get back to me.,Billing,High
Please help. I need a refund for my subscription. Thanks.,Billing,Medium
Question: I have a problem with my invoice from last month. It seems I was charged twice. Appreciate it.,Billing,High
"Hi team, How do I change my profile picture?",General Query,Low
Please help. My credit card was declined but I have sufficient funds.,Billing,High
URGENT: How can I delete my account permanently? Thanks.,Account,Medium
Fix this ASAP! Where can I find the documentation for the API? Thanks.,General Query,Low
"Hello, My account is locked and I cannot log in. Get back to me.",Account,High
